"Package","Field"
"ELViS","Genomics"
"EMDomics","Microarray"
"EmpiricalBrownsMethod","Genomics"
"EnhancedVolcano","Immunology"
"enhancerHomologSearch","Genomics"
"EnMCB","Microarray"
"ENmix","Microarray"
"EnrichDO","Genomics"
"EnrichedHeatmap","Genomics"
"EnrichmentBrowser","Microarray"
"enrichplot","Genomics"
"enrichViewNet","Other"
"ensembldb","Genomics"
"epialleleR","Genomics"
"EpiCompare","Microarray"
"epidecodeR","Microarray"
"EpiDISH","Microarray"
"epigenomix","Microarray"
"epigraHMM","Microarray"
"EpiMix","Genomics"
"epimutacions","Genomics"
"epiNEM","Other"
"EpipwR","Genomics"
"epiregulon","Single-cell"
"epiregulon.extra","Microarray"
"epistack","Microarray"
"epistasisGA","Genomics"
"EpiTxDb","Transcriptomics"
"epivizr","Other"
"epivizrChart","Other"
"epivizrData","Other"
"epivizrServer","Other"
"epivizrStandalone","Other"
"erccdashboard","Microarray"
"ERSSA","Immunology"
"esATAC","Immunology"
"escape","Single-cell"
"escheR","Single-cell"
"esetVis","Other"
"eudysbiome","Other"
"evaluomeR","Other"
"EventPointer","Microarray"
"EWCE","Single-cell"
"ExCluster","Immunology"
"ExiMiR","Microarray"
"ExperimentHub","Other"
"ExperimentHubData","Other"
"ExperimentSubset","Other"
"ExploreModelMatrix","Other"
"ExpressionAtlas","Microarray"
"extraChIPs","Microarray"
"fabia","Microarray"
"factDesign","Microarray"
"factR","Transcriptomics"
"faers","Genomics"
"FamAgg","Genomics"
"famat","Genomics"
"fastLiquidAssociation","Genomics"
"FastqCleaner","Other"
"fastreeR","Microbiome"
"fastseg","Other"
"fCCAC","Microarray"
"fCI","Proteomics"
"fcScan","Genomics"
"fdrame","Microarray"
"FEAST","Single-cell"
"FeatSeekR","Metabolomics"
"fedup","Genomics"
"FELLA","Metabolomics"
"fenr","Proteomics"
"ffpe","Microarray"
"fgga","Other"
"FGNet","Genomics"
"fgsea","Genomics"
"FilterFFPE","Other"
"findIPs","Genomics"
"FindIT2","Microarray"
"FinfoMDS","Microbiome"
"FISHalyseR","Other"
"fishpond","Single-cell"
"FitHiC","Genomics"
"flagme","Metabolomics"
"FLAMES","Single-cell"
"flowAI","Cytometrics"
"flowBeads","Cytometrics"
"flowBin","Cytometrics"
"flowcatchR","Other"
"flowCHIC","Cytometrics"
"flowClean","Cytometrics"
"flowClust","Cytometrics"
"flowCore","Cytometrics"
"flowCut","Cytometrics"
"flowCyBar","Cytometrics"
"flowDensity","Cytometrics"
"flowFP","Cytometrics"
"flowGate","Cytometrics"
"flowGraph","Cytometrics"
"flowMatch","Cytometrics"
"flowMeans","Cytometrics"
"flowMerge","Cytometrics"
"flowPeaks","Cytometrics"
"flowPloidy","Cytometrics"
"flowPlots","Cytometrics"
"FlowSOM","Cytometrics"
"flowSpecs","Single-cell"
"flowStats","Cytometrics"
"flowTime","Cytometrics"
"flowTrans","Cytometrics"
"flowViz","Cytometrics"
"flowVS","Microarray"
"flowWorkspace","Cytometrics"
"fmcsR","Metabolomics"
"fmrs","Other"
"fobitools","Metabolomics"
"FRASER","Transcriptomics"
"frenchFISH","Genomics"
"FRGEpistasis","Genomics"
"frma","Microarray"
"frmaTools","Microarray"
"funOmics","Transcriptomics"
"funtooNorm","Genomics"
"FuseSOM","Single-cell"
"G4SNVHunter","Genomics"
"GA4GHclient","Other"
"GA4GHshiny","Other"
"gaga","Microarray"
"gage","Microarray"
"GAprediction","Immunology"
"garfield","Genomics"
"GARS","Other"
"GateFinder","Cytometrics"
"gatom","Genomics"
"GBScleanR","Genomics"
"gcapc","Microarray"
"gcatest","Genomics"
"GCPtools","Other"
"gCrisprTools","Immunology"
"gcrma","Microarray"
"GDCRNATools","Immunology"
"gDNAx","Transcriptomics"
"gDR","Other"
"gDRcore","Other"
"gDRimport","Other"
"gDRstyle","Other"
"gDRutils","Other"
"GDSArray","Microarray"
"gdsfmt","Other"
"GeDi","Transcriptomics"
"GEM","Microarray"
"gemini","Other"
"gemma.R","Single-cell"
"genArise","Microarray"
"geneAttribution","Genomics"
"GeneBreak","Genomics"
"geneClassifiers","Microarray"
"GeneExpressionSignature","Genomics"
"genefilter","Microarray"
"genefu","Genomics"
"GeneGA","Genomics"
"GeneMeta","Microarray"
"GeneNetworkBuilder","Microarray"
"GeneOverlap","Other"
"geneplast","Genomics"
"geneplotter","Other"
"geneRecommender","Microarray"
"GeneRegionScan","Microarray"
"geneRxCluster","Genomics"
"GeneSelectMMD","Other"
"GENESIS","Genomics"
"GeneStructureTools","Immunology"
"geNetClassifier","Microarray"
"GeneticsPed","Genomics"
"GeneTonic","Transcriptomics"
"geneXtendeR","Microarray"
"GENIE3","Genomics"
"genomation","Other"
"GenomAutomorphism","Genomics"
"GenomeInfoDb","Genomics"
"genomeIntervals","Genomics"
"genomes","Genomics"
"GenomicAlignments","Immunology"
"GenomicDataCommons","Other"
"GenomicDistributions","Genomics"
"GenomicFeatures","Genomics"
"GenomicFiles","Genomics"
"genomicInstability","Single-cell"
"GenomicInteractionNodes","Other"
"GenomicInteractions","Other"
"GenomicOZone","Transcriptomics"
"GenomicPlot","Microarray"
"GenomicRanges","Genomics"
"GenomicScores","Genomics"
"GenomicSuperSignature","Transcriptomics"
"GenomicTuples","Other"
"GenProSeq","Proteomics"
"GenVisR","Genomics"
"GeoDiff","Genomics"
"GEOfastq","Transcriptomics"
"GEOmetadb","Other"
"geomeTriD","Other"
"GeomxTools","Microarray"
"GEOquery","Microarray"
"GEOsubmission","Microarray"
"GeoTcgaData","Microarray"
"gep2pep","Genomics"
"getDEE2","Transcriptomics"
"geva","Microarray"
"GEWIST","Genomics"
"geyser","Genomics"
"gg4way","Single-cell"
"ggbio","Other"
"ggcyto","Cytometrics"
"ggkegg","Other"
"ggmanh","Genomics"
"ggmsa","Other"
"GGPA","Genomics"
"ggsc","Single-cell"
"ggseqalign","Other"
"ggspavis","Single-cell"
"ggtree","Genomics"
"ggtreeDendro","Genomics"
"ggtreeExtra","Genomics"
"ggtreeSpace","Genomics"
"GIGSEA","Genomics"
"ginmappeR","Genomics"
"GLAD","Microarray"
"GladiaTOX","Other"
"Glimma","Microarray"
"glmGamPoi","Single-cell"
"glmSparseNet","Other"
"GlobalAncova","Microarray"
"globalSeq","Transcriptomics"
"globaltest","Microarray"
"GloScope","Single-cell"
"gmapR","Other"
"GmicR","Immunology"
"gmoviz","Genomics"
"GMRP","Other"
"GNET2","Genomics"
"GNOSIS","Other"
"goatea","Transcriptomics"
"GOexpress","Microarray"
"GOfuncR","Genomics"
"GOpro","Genomics"
"goProfiles","Microarray"
"GOSemSim","Other"
"goseq","Immunology"
"goSorensen","Microarray"
"goSTAG","Microarray"
"GOstats","Microarray"
"GOTHiC","Immunology"
"goTools","Microarray"
"GPA","Genomics"
"gpls","Microarray"
"GrafGen","Genomics"
"GRaNIE","Microarray"
"graper","Other"
"graph","Other"
"GraphAlignment","Other"
"GraphAT","Other"
"graphite","Metabolomics"
"GRENITS","Genomics"
"GreyListChIP","Microarray"
"GRmetrics","Immunology"
"groHMM","Other"
"GSALightning","Genomics"
"GSAR","Other"
"GSCA","Genomics"
"gscreend","Other"
"GSEABase","Genomics"
"GSEABenchmarkeR","Microarray"
"GSEAlm","Microarray"
"GSEAmining","Genomics"
"gsean","Genomics"
"GSgalgoR","Genomics"
"GSReg","Transcriptomics"
"GSRI","Microarray"
"GSVA","Microarray"
"gtrellis","Other"
